Questions,Answers,Justify Answers Below,Tags
,,,
,,,
,,,
Response Planning,,,Response Planning
Is an incident response plan in place?,Fully Compliant,Yes,Response Planning
Is a trained incident response team in place?,Fully Compliant,Yes,Response Planning
"What templates do you have implemented to protect the hosted data (i.e.: PCI, PII, etc.)?",Fully Compliant,,Response Planning
Analysis,,,Response Planning
Are notifications from detection systems investigated?,Fully Compliant,Yes,Response Planning
Is the impact of incidents understood?,Fully Compliant,Yes,Response Planning
Are forensics performed?,Fully Compliant,Yes,Response Planning
Are incidents categorized consistent with response plans?,Fully Compliant,Yes,Response Planning
Are processes established to receive. analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing. security bulletins. or security researchers)?,Fully Compliant,"Yes, We have Vulenrability dsiclosure process and will update clients incase of any security breach notified/identified by us",Response Planning
Mitigation,,,Response Planning
Are incidents contained?,Fully Compliant,Yes,Response Planning
Are incidents mitigated?,Fully Compliant,Yes,Response Planning
Are newly identified vulnerabilities mitigated or documented as accepted risks?,Fully Compliant,Yes,Response Planning
,,,
,,,
,,,
Recovery Planning,,,Recovery Planning
Is a recovery plan is executed during or after a cybersecurity incident?,Fully Compliant,Yes,Recovery Planning
Improvements,,,Recovery Planning
Do recovery plans incorporate lessons learned?,Fully Compliant,Yes,Recovery Planning
Are recovery strategies updated?,Fully Compliant,"Yes, Recovery Strategy is regularly tested and updated",Recovery Planning
Communications,,,Recovery Planning
Are public relations managed?,Fully Compliant,,Recovery Planning
Is reputation after an event repaired?,Fully Compliant,,Recovery Planning
Communications,,,Recovery Planning
At what stage of the incident lifecycle do you notify customers that their information is at-risk/compromised?,Fully Compliant,We update clients in max  2 hours after verifying and validating issue,Recovery Planning
Do personnel know their roles and order of operations when a response is needed?,Fully Compliant,Yes,Recovery Planning
Are events reported consistent with established criteria?,Fully Compliant,Yes,Recovery Planning
Is information shared consistent with response plans?,Fully Compliant,Yes,Recovery Planning
Does coordination with stakeholders occur consistent with response plans?,Fully Compliant,Yes,Recovery Planning
Does voluntary information sharing occur with external stakeholders to achieve broader cybersecurity situational awareness?,Fully Compliant,Yes,Recovery Planning
Are recovery activities communicated to internal and external stakeholders and executive and management teams?,Fully Compliant,Yes,Recovery Planning
,,,
,,,
,,,
"Privacy Practices and Policies   Will you be storing PII from 7-11, if yes, then",,,Privacy Practices and Policies
"Does your organization have a comprehensive privacy program designed to address privacy risks and regulatory compliance relating to personally identifiable information (""PII"")?",Yes,,Privacy Practices and Policies
"Does your organization describe the purpose or purposes for which it collects, uses, maintains, and shares PII in a privacy notice or policy?",Yes,,Privacy Practices and Policies
"Are your organization's privacy notices or policies publicly available?  If so, please provide a copy of or link to of such privacy notices and policies?",Yes,https://www.hungerbox.com/privacy-policy.html,Privacy Practices and Policies
"How often does your organization update its privacy, notices policies, and procedures?",Yes,Annually,Privacy Practices and Policies
"Do you have a program to comply with the California Consumer Privacy Act (CCPA), as amended by the California Privacy Rights Act (CPRA)?  If so, please describe.",No,N/A,Privacy Practices and Policies
"Do you have a plan to comply with the Personal information Protection and Electronic Documents Act (PIPEDA) or provincial privacy laws in Canada, if applicable? If so, please describe.",No,N/A,Privacy Practices and Policies
"Do you have a plan to comply with Regulation 2016/679 (General Data Protection Regulation) of the European Union? If so, please describe.",No,All our customers are in India and we comply with all legal processes in India.,Privacy Practices and Policies
7-Eleven PII,,,Privacy Practices and Policies
What categories and elements of PII do you expect to process on behalf of 7-Eleven?,Yes,"We use name, mobile and company email",Privacy Practices and Policies
What is the purpose for processing the 7-Eleven PII identified above?,Yes,To provide unique id on application and provide payment methods to user for making payment,Privacy Practices and Policies
How will you use 7-Eleven PII?,Yes,Employees of 7-eleven,Privacy Practices and Policies
What are the sources of the 7-Eleven PII?,Yes,Client will provide this information to Hungerbox,Privacy Practices and Policies
What technologies will be used to collect the 7-Eleven PII? ,Yes,Client will provide this information on Hungerbox panel or SSO,Privacy Practices and Policies
Will a personal identifier be used to retrieve the 7-Eleven PII?,No,,Privacy Practices and Policies
Will your organization transfer PII to 7-Eleven's data lake?,No,,Privacy Practices and Policies
Provide the length of time you intend to retain each category of PII that your organization will process on behalf of 7-Eleven.,Yes,We will keep PII information for contratual term and dispose it after contract is over,Privacy Practices and Policies
Location of Processing,,,Privacy Practices and Policies
Where will your organization process 7-Eleven PII?,Yes,,Privacy Practices and Policies
"Does your organization transfer  PII out of the European Union to another country? If so, identify the safeguards that your organization implements to with respect to such transfers of PII?  Do you comply with GDPR (General Data Protection Requirements) ?",Yes,,Privacy Practices and Policies
Data Sharing Practices,,,Privacy Practices and Policies
"Will PII that you process on behalf of 7-Eleven be shared with any external vendors, contractors or service providers (""External Parties"")?",No,No PII data is shared with any external parties,Privacy Practices and Policies
How is the data transmitted or disclosed to the External Parties?,No,,Privacy Practices and Policies
Do you have written agreements in place with all External Parties that will receive 7-Eleven PII to require the protection of the confidentiality of the PII and to limit use to deliver the applicable products or services to 7-Eleven?,No,N/A,Privacy Practices and Policies
"Identify, by name and address, all External Parties that will process or receive 7-Eleven PII that your organization will receive or otherwise process for 7-Eleven.",No,N/A,Privacy Practices and Policies
Describe the procedures your organization has implemented to ensure External Parties who process 7-Eleven PII have implemented appropriate privacy controls.,No,N/A,Privacy Practices and Policies
Data Minimization and Retention,,,Privacy Practices and Policies
Does your organization limit its PII collection and retention to the minimum required for the purposes described in its privacy notice or policy?,Yes,,Privacy Practices and Policies
Do you have a data retention and/or data destruction policy applicable to PII?,Yes,Data disposal policy attached.,Privacy Practices and Policies
"Does your organization dispose of, destroy, erase, or anonymize PII, regardless of storage method, according to industry best practices and in a manner that prevents loss, theft, misuse, or unauthorized access?",Yes,,Privacy Practices and Policies
Employee Training and Obligations,,,Privacy Practices and Policies
Has your organization developed and implemented a training and awareness program designed to implement privacy controls and to ensure that personnel understand privacy responsibilities and procedures?,Yes,,Privacy Practices and Policies
Does your organization administer role-based privacy training for personnel having responsibility for PII or for activities that involve PII?,Yes,,Privacy Practices and Policies
"Are all personnel who are authorized to process PII on behalf of 7-Eleven subject to written agreements to maintain the confidentiality of such PII and to limit use to the delivery of services or products to 7-Eleven?
",Yes,,Privacy Practices and Policies
"Do you have exit procedures in place to verify that PII is no longer accessible to  personnel after their employment/engagement with your organization ends? If so, please describe such procedures.",Yes,,Privacy Practices and Policies
"Do you conduct background checks on personnel who are authorized to process  PII on behalf of 7-Eleven? If so, please explain the types of background checks performed, how often they are conducted, and criteria used to evaluate new personnel.",Yes,ALL Employees of HB have Non Disclosure agreement in place for maintaining data,Privacy Practices and Policies
Governance and Risk Assessment,,,Privacy Practices and Policies
"Has your organization appointed a Chief Privacy Officer or other senior management designee accountable for developing, implementing, and maintaining an enterprise wide privacy compliance program?  If so, please identify your CPO or other designee.",Yes,We have assigned our AVP Tech Kalyan as DPO . His connects are kalyan@hungerbox.com,Privacy Practices and Policies
Does your organization monitor privacy laws and policy for changes that may affect its privacy program?,Yes,,Privacy Practices and Policies
"Do you have a  process to assess privacy risks and privacy regulatory responsibilities in relevant areas of your operations, including product design, development and deployment?",Yes,,Privacy Practices and Policies
Individual Rights,,,Privacy Practices and Policies
"Does your organization you have a processes in place to fulfill and honor requests from individuals who wish to access, correct or delete their PII?",Yes,,Privacy Practices and Policies
"Describe the mechanism and process that your organization will make available to 7-Eleven for 7-Eleven to communicate access, correction, and deletion requests to you.",Yes,We will provide connect  7-eleven to HB team member who will manage PII and other account management activities for 7-eleven,Privacy Practices and Policies
Advanced Technology Used,,,Privacy Practices and Policies
"Will your organization use advanced algorithms, machine learning (ML), artificial intelligence, or biometric information or technologies in processing 7-Eleven PII? If so, please explain the methodology used an how data will be used.",No,,Privacy Practices and Policies
Record Keeping,,,Privacy Practices and Policies
"Does your organization maintain an inventory of the PII it collects, uses, maintains, or shares, including systems and data locations?",Yes,,Privacy Practices and Policies
"How often does your organization  update its inventory of the PII it collects, uses, maintains, or shares?",Yes,We update it at point of any new PII collection feature and audit it quaterly once,Privacy Practices and Policies
