DD Activity,"Respones
(Y/N)
if answered No, this may trigger a GAP",Comments,"Supporting Documentation 
File name, page number and section that meets DD requirement
do not embed documents within this file",Tags
"Overview of Recovery Plans and Exercises:

Please submit your Disaster Recovery and Business Continuity Plans. 
These will need to include:

A. Frequency of plan updates
B. Description of exercises
C. Exercise Results to include, if applicable, proof that the recovery time objectives of the application(s) were met. 
D. How gaps identified during these exercises were resolved.",,,,Resiliency
"Do you have a top-level Business Continuity, Operational Resilience, or other relevant policy which covers Business Continuity Management, and has it been reviewed/approved by management in the last 12 months?

Please Attach Evidence",,,,Resiliency
,,,,
,,,,
"Are the most recent 3 years audited financial statements for the contracted entity and the annual contracted spend available? 
If yes, attach statements.",,,,FHA
"Are the most recent 3 years audited financial statements for the parent entity of the contracted entity and the annual contracted spend available? If yes, attach statements.",,,,FHA
Do the parent and contracted (subsidiary) entities share the same name?,,,,FHA
Are the parent and subsidiary in the same line of business?,,,,FHA
Does the contracted entity contribute a significant amount of revenue to the combined parent total?  Please state the % contribution.,,,,FHA
Is the subsidiary profitable and does it have strong cash flows?,,,,FHA
Is the subsidiary strategically important to the plans of the parent?,,,,FHA
Has the parent entity demonstrated financial support for the contracted entity in the past?,,,,FHA
Do the parent and subsidiary entities have the same or shared management?,,,,FHA
Is the subsidiary majority-owned by the parent company? What is the ownership %?,,,,FHA
Are there any legal guarantees that the parent company will support the subsidiary?,,,,FHA
Please share the annual contracted exposure amount for the contracted entity.,,,,FHA
,,,,
,,,,
Please refer to the Anti-Corruption Program Due Diligence Questionnaire in the Square. Click here to be redirected to the page.,,,,ACDD
